"","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"147",73.9817,73.966,74.1222,74.2434,74.3478,74.2499,74.6847,74.7873,74.8092,74.8,74.8279,75.2634,75.4118,75.565,75.9606,76.0637,76.5703,77.0155,77.4272,77.8776,78.4251,78.8911,79.2265,79.5364,79.7677,80.0639,80.4335,80.7171,80.8982,80.9897,79.0987,79.2716
"151",68.9485,69.3658,69.9254,70.3033,70.705,71.0109,71.2731,71.4826,71.8787,72.1359,72.4667,72.9744,73.3366,73.6284,74.1526,74.5883,74.8096,75.0458,75.2744,75.4313,75.7629,76.234,76.4611,76.6257,76.7573,76.9185,77.0643,77.1605,77.2115,77.3036,76.2392,76.936
"154",74.9444,75.3289,75.6009,75.8015,75.8847,75.9757,76.5357,77.2281,77.9875,78.4701,79.0691,79.1863,79.3025,79.3985,79.7654,80.3541,80.71,80.9576,81.1698,81.4555,81.691,81.9745,82.2434,82.5157,82.6524,82.8265,83.0001,83.2236,83.4576,83.7584,82.861,82.7545
"169",69.8172,70.0357,70.2625,70.1929,70.1414,70.4163,70.3465,70.2826,70.1958,70.425,70.7639,71.6439,71.9394,72.4137,72.4747,72.7685,73.3495,73.7088,73.5508,73.8527,73.8808,73.3053,66.7687,63.8265,63.1529,65.1239,65.9933,68.4811,70.145,71.8224,72.1399,72.0627
"172",70.4449,70.7168,70.8853,71.0678,71.2265,70.9475,71.6525,72.5005,72.8623,72.5419,72.3156,72.6127,72.9296,73.1546,73.0797,73.8202,74.9381,75.1872,75.4916,75.8416,76.1313,76.4212,76.7721,77.0827,77.4153,77.7166,78.0489,78.3939,78.6622,78.9751,79.2739,78.7154
"173",61.879,61.3789,55.0738,52.8669,57.4796,59.3379,59.1285,60.3482,61.5186,62.6206,63.2596,64.0569,64.8464,65.5521,66.0284,66.5143,67.0127,67.2169,67.6884,68.0386,67.742,68.1485,68.4841,68.8848,69.0693,69.3059,69.5493,69.9047,70.3532,70.8674,67.9942,71.5942
"174",63.939,64.0346,63.8752,63.8037,63.7559,63.684,63.5957,63.6456,64.1056,64.5177,65.0258,65.1555,65.3846,65.7459,66.0747,66.0683,66.4989,66.8948,67.407,67.9583,68.2933,68.567,68.7225,68.7401,68.6135,68.7816,68.7774,68.9158,68.7963,69.0016,68.687,69.2644
"175",44.9535,44.9849,46.2758,47.2535,48.2516,48.0238,48.816,49.5172,49.1235,45.7011,58.5676,59.3619,60.1483,60.8707,61.6281,62.3283,63.0731,63.7229,64.329,64.8539,65.3036,65.6965,66.0812,66.4396,66.7865,67.1373,67.4461,67.7454,68.0167,68.2684,68.4755,67.7369
"179",67.7092,68.1689,68.4861,68.911,69.2949,69.6094,70.1414,70.5699,71.0388,70.6947,71.8613,72.2305,72.5785,72.8899,73.24,73.5341,73.8448,74.1927,74.4501,74.7653,75.0693,74.9406,75.678,76.2968,76.5648,76.646,76.6605,77.1408,77.5631,77.8318,75.85,76.0324
"186",65.3456,65.1307,65.1091,64.8289,64.6854,64.6463,64.7118,64.7636,65.035,65.3835,65.7235,66.087,66.6037,67.0397,67.4012,67.4901,67.891,68.2918,68.7646,68.8705,69.2354,69.6487,69.8742,69.9895,70.2343,70.4753,70.7548,71.0095,71.1494,71.3441,70.3309,70.8616
"189",69.2127,69.849,69.9579,70.6212,70.7587,71.3837,71.5098,71.8017,72.1068,72.3169,72.462,72.6472,72.8009,72.9803,73.135,73.2714,73.3194,73.4361,73.411,73.4982,73.5126,73.6921,73.7044,73.7755,73.8545,73.8763,73.9382,73.9632,73.9757,74.0929,75.3779,73.6181
"192",58.6994,59.049,59.4283,59.8595,59.7135,60.4532,60.5678,61.1193,61.3748,61.9752,62.588,63.2222,63.9062,64.5411,65.0059,65.543,65.9877,66.5653,66.9629,67.1964,67.28,67.4194,67.3429,67.5451,67.3842,65.8734,66.0641,65.9573,64.5751,65.0917,64.6501,63.7534
