"","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"130",77.0067,77.1564,77.3595,77.0352,77.5128,77.5454,77.5498,77.9245,77.9971,77.9601,78.1222,78.3304,78.4046,78.6571,79.2308,79.4797,79.8376,80.2452,80.3766,80.66,80.8186,81.0999,81.0495,81.2919,81.6425,81.4821,81.547,81.7291,81.7741,82.0455,81.6381,81.6873
"131",76.5865,77.0382,77.2461,77.2206,77.7726,77.7967,78.2332,78.2386,78.4083,78.3868,78.6919,78.8959,78.9605,79.5294,79.9648,80.1699,80.4411,80.5033,80.678,80.8669,81.0401,81.243,81.4437,81.6666,82.0859,82.2718,82.4147,82.624,82.7605,82.9552,83.1951,83.2339
"142",70.678,70.3777,70.9072,71.4197,71.7101,71.9193,72.2472,72.5951,72.9517,72.9946,73.7335,74.2193,74.5826,74.7384,74.972,75.0936,75.2835,75.3386,75.5842,75.7811,76.3175,76.6506,76.7138,76.9705,77.5691,77.4151,77.8025,77.7205,77.6282,77.9272,76.9424,76.4572
"144",74.304,74.2401,74.8701,74.7614,75.73,75.5501,75.4763,75.9227,76.1164,76.3221,76.8304,77.1508,77.3676,77.5784,78.4199,78.3053,79.0713,79.281,79.5613,79.7706,80.035,80.4971,80.4784,80.8172,81.2157,81.2093,81.2324,81.498,81.3947,81.7007,81.0545,81.0443
"148",69.729,69.8842,69.4055,69.5784,69.5789,69.5602,68.9817,69.4482,70.125,70.6008,71.2823,71.2944,70.7048,69.8004,69.5031,70.6095,71.4718,72.5458,73.6078,74.029,73.9959,74.4314,74.3908,74.9756,74.9279,74.7901,75.2458,75.9519,76.1546,76.5079,75.3456,74.1847
"149",68.5354,68.4246,67.56,65.019,63.9354,64.101,65.4217,66.3645,66.7722,65.6306,65.2711,65.4166,65.1401,65.264,65.904,66.0746,67.2791,68.1535,68.4943,69.2116,69.386,70.3981,70.7695,71.3025,71.5664,72.1006,72.6609,73.3743,73.5306,73.9332,71.3423,69.419
"158",78.6696,78.8539,78.8439,78.9294,79.2137,79.606,79.2439,79.6085,80.0336,80.2569,79.9486,80.4193,80.7656,80.7311,80.7028,81.2182,81.5574,81.853,82.2058,82.4928,82.6838,82.7619,82.575,82.3913,82.8949,82.927,82.9726,82.9161,82.9479,82.9863,79.5886,80.8786
"160",70.3146,70.7056,70.8839,71.0479,71.329,71.7694,71.5536,71.649,71.2427,69.7577,71.4392,72.3072,72.2585,72.4425,72.6165,72.7092,73.3551,73.6228,73.9388,74.0376,74.3753,74.7717,75.1062,75.605,75.7234,75.8172,76.2609,76.213,76.5115,76.704,75.4057,74.1923
"164",70.8202,70.9224,71.3665,71.8817,72.3307,72.255,72.7398,72.6902,72.5742,72.9641,73.1407,73.5726,73.7669,73.82,74.2186,74.1572,74.4167,74.4951,74.8642,75.217,75.495,76.0166,76.1746,76.5121,76.847,76.6493,77.2146,77.219,77.264,77.6851,77.0054,74.9101
"165",73.5151,73.2782,73.5449,73.4681,74.0725,74.5783,75.0773,75.1779,75.341,75.7203,76.1957,76.5433,76.7904,76.6721,77.4848,77.7151,78.4191,78.5936,79.1346,79.2704,79.7039,79.9905,80.1284,80.336,80.9406,80.8218,81.1577,81.0714,81.3581,81.6042,80.4409,80.6904
"166",77.5883,77.7281,78.0709,78.1352,78.7465,78.8214,79.0435,79.2711,79.4155,79.5079,79.7382,79.8359,79.9347,80.195,80.5462,80.621,80.8317,80.9697,81.1371,81.3631,81.5187,81.7581,81.7296,81.9348,82.2233,82.1834,82.3391,82.4382,82.5326,83.0524,82.4274,82.9833
"183",69.8024,69.073,68.6289,67.8725,67.4426,66.8275,67.1484,67.6315,68.3991,68.1197,67.8555,68.1814,68.1732,68.2087,68.4016,68.1506,68.7406,68.7657,69.1168,70.2472,70.6207,71.3872,71.6273,71.8617,72.5905,73.4581,74.3121,74.7181,74.4122,74.5364,72.5726,71.624
