"","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"150",48.4312,46.519,44.3189,42.1658,14.0985,39.9692,40.6979,40.6402,41.6813,44.6162,47.1292,49.0206,51.0322,53.3678,55.4912,57.316,58.7137,59.9653,61.1342,61.9578,62.5397,63.2615,64.0094,64.4257,64.9401,65.2977,65.7373,65.9409,66.2505,66.437,66.7741,66.0722
"152",49.7321,50.2129,45.8909,46.5752,56.6437,51.991,52.2756,52.8331,48.8104,57.0148,58.3185,58.5615,58.9763,58.1999,56.7726,57.2786,60.2806,61.2564,61.2055,62.6439,63.0161,63.2463,63.7922,63.6779,64.2691,64.6587,64.7801,65.4447,65.681,65.8755,65.6136,65.2667
"153",56.9484,57.1389,57.1124,56.9961,56.9545,56.8385,56.6719,56.591,56.4179,56.609,56.9434,57.5639,58.231,59.1219,60.0266,60.9152,61.7502,62.5429,63.2421,63.9231,64.6154,65.262,65.4567,66.0719,66.4519,66.8794,67.4969,67.7503,68.0966,68.5258,68.0064,67.0926
"156",44.0568,43.5063,43.6214,43.5936,42.9245,42.7157,43.6799,43.7149,42.7892,42.0712,45.0503,45.6607,46.3586,46.9628,47.5771,48.2373,49.323,50.3654,51.5259,52.6256,53.6932,54.6198,55.451,56.3132,56.3933,57.189,58.4045,58.6517,59.7959,60.2549,59.7632,60.0624
"159",47.1055,26.5647,27.3116,50.6485,50.3266,50.6005,50.4469,50.1947,50.6602,50.5245,50.6604,50.7403,50.7309,50.6139,50.5377,50.6606,50.5974,50.5147,51.1198,51.8533,50.563,51.3045,53.1611,53.8433,54.2773,54.857,55.0444,55.6536,56.3754,57.0776,55.9666,55.2803
"161",29.9353,30.1479,22.7245,22.7041,44.3836,30.9483,31.2966,32.2424,18.3852,43.2228,46.0277,46.8807,47.4915,50.2529,50.9167,51.5455,52.0162,52.8565,53.5375,53.8912,54.8118,54.9396,55.8651,55.7509,54.9727,55.5665,55.5437,55.3094,55.9495,55.912,55.4801,54.9752
"162",61.471,61.4289,61.2837,61.138,61.069,61.0556,61.0971,61.181,61.1868,61.3934,61.6554,62.0316,62.6003,63.166,63.7311,63.7089,64.3982,64.7239,65.0786,65.1157,65.2486,64.9017,65.7457,66.3275,66.8452,67.2491,67.4917,68.2666,68.3549,68.5231,67.7848,67.5912
"167",63.0719,62.6853,61.7346,60.233,58.2678,56.1477,53.8727,52.0436,50.3326,48.7331,47.2561,45.9751,44.4856,43.3485,42.5381,42.1254,43.1196,43.6411,44.1749,44.6394,46.6191,48.1946,49.8352,51.4863,53.0497,55.0192,56.6591,57.8951,59.4114,60.5492,59.6922,57.0657
"168",69.0142,68.9347,69.0824,69.0419,68.976,68.5282,68.9309,68.9981,69.8642,69.5445,69.7218,69.9853,70.3955,70.9818,71.1618,71.5618,71.8336,72.1124,72.3969,72.6881,72.9703,73.7537,73.6428,73.7807,73.7495,73.6979,73.6425,73.8027,73.9529,74.169,73.5324,71.2945
"170",44.6856,45.9412,46.1019,46.3178,46.4492,46.7106,47.013,47.2168,47.2243,47.3724,47.443,47.8496,47.9462,48.2063,48.2317,48.3122,48.2863,48.751,49.0239,49.1963,49.5843,50.009,50.5401,50.7806,51.202,51.5888,52.0834,52.3076,52.8253,53.2594,52.7774,52.5254
"171",54.3697,54.2682,54.2992,54.1953,54.0366,54.0366,54.0981,54.1922,54.1994,54.5381,54.742,54.8597,55.3112,55.6392,55.5695,55.9618,56.2219,56.5106,56.6948,57.0106,57.3042,57.9246,58.073,58.6841,58.8534,59.3958,59.5501,60.1544,60.244,60.9011,61.035,61.6194
"178",70.1103,70.5211,70.7015,71.2347,71.6145,71.9876,72.3796,72.8634,73.1687,73.5081,73.6901,73.8156,74.0595,74.3054,74.4902,74.7642,74.9215,75.072,75.1846,75.2667,75.4206,75.4595,75.5498,75.6502,75.6497,75.6919,75.7861,75.8448,75.9501,75.9933,75.2923,73.7719
"181",51.4849,51.3058,50.9888,50.8698,50.797,50.7858,50.7443,50.6243,50.914,51.7476,52.3623,53.161,53.8634,54.8949,55.5963,56.2991,56.9111,57.52,58.0861,58.8937,60.1048,61.0492,62.0303,62.9603,63.8733,64.6507,65.3862,65.9987,66.5346,66.9885,66.4077,66.2007
"182",46.4426,46.3156,46.3684,46.2367,46.3526,46.5674,46.6701,46.9767,47.1747,47.7857,48.3415,49.0061,49.6476,50.3682,51.5469,52.9756,54.3688,55.2365,55.823,56.4881,57.0547,57.9651,58.8166,59.7628,60.4081,61.0856,61.6479,62.115,62.7139,62.9913,62.8513,62.7048
"193",63.3753,63.2649,63.3414,63.0447,62.6118,62.2616,61.4593,60.8053,60.0008,59.2408,58.4704,57.2614,55.6662,54.3308,54.043,53.9797,54.2775,54.9922,56.0222,57.4474,58.8987,60.6507,61.8457,62.5331,63.3796,63.9499,64.7469,65.402,65.6743,66.175,65.2522,62.341
"194",47.9263,47.0971,46.5119,46.2094,45.8543,45.5534,45.2326,44.9446,44.7011,44.6589,45.2312,46.0188,46.9791,48.284,49.4873,50.6591,51.7955,52.7389,53.9449,55.3004,56.7991,57.7708,58.8672,59.8777,60.699,61.2078,61.7937,62.1201,62.3422,62.7926,62.3803,61.2234
"195",59.4264,58.0911,56.4354,54.4264,52.5878,50.531,48.9551,47.9933,46.8192,45.2056,44.6864,41.9572,44.5654,43.3926,44.5023,44.7677,45.3635,45.6102,46.7232,48.0625,50.6523,53.347,55.6263,57.4577,58.846,59.5911,60.3059,60.7095,61.4141,61.2925,61.1242,59.2531
